Acronimo,Titulo,Descripcion,Año,Mes,Dia,Ciudad,Pais,Topicos
ICDML2020,"A TWO DAY AICTE SPONSORED INTERNATIONAL CONFERENCE ON DATA SCIENCE,MACHINE LEARNING AND ITS APPLICATIONS",-,2020,Oct,9,HYDERABAD,India,"cyber security and fornesic science,reinforcement deeplearning nural networks,machine learning,data science,"
2020 ETSI-IQC QSC Workshop,2020 ETSI-IQC Quantum-Safe Cryptography Workshop,-,-,-,-,Sophia-Antipolis,France,"quantum safe cryptography,cryptography standards,post quantum cryptography,quantum cryptography,"
i2C,2nd International Conference on Cyberspace,-,2020,Nov,24,Virtual,Nigeria,"data science and technology,artificial intelligence and machine learning,cybersecurity education and awareness,advances in cybersecurity,"
AEST-2021,The 1st International Conference on Advances in Engineering Science and Technology,-,2021,Mar,24,Babylon,Iraq,"mechanical engineering,environmental engineering,civil engineering,"
LAWCG'2020,9th Latin American Workshop on Cliques in Graphs,-,2020,Nov,25,Rio de Janeiro,Brazil,"the behavior of cliques,clique graphs,cliques,graph theory,"
IDA 2021,19th Symposium on Intelligent Data Analysis,-,2021,Apr,26,Porto,Portugal,"artificial intelligence,data analysis,"
ADMA2020,International Conference on Advanced Data Mining and Applications,-,2020,Nov,12,Foshan,China,
SENTA 2020,The 5th International Conference on  Marine Technology,-,2020,Dec,7,Surabaya,Indonesia,"offshore and coastal engineering,ship production and material technology,marine robotics,naval architecture,"
ROOTS2020,Reversing and Offensive-Oriented Trends Symposium (ROOTS) 2020,-,2020,Nov,19,Vienna,Austria,"reverse engineering,cyber security,computer securiy,"
Teaching Logic and Method of Thought 2020,ICCE 2020 (Workshop on Teaching logic and Method of Thought at different levels of instruction,-,2020,Nov,22,Six Special Municipalities in Taiwan,Taiwan,"method of thought,teaching logic,education,critical thinking,"
FMM 2020,Forumi i Mësuesve të Matematikës 2020,-,2020,Nov,25,Tirana,Albania,"intuita matematike apo rigoroziteti matematik?,olimpiadat e matematikës,origjinaliteti dhe krijimtaria në matematikë,kurrikulat e reja te matematikës,"
CACMARAB 2020,Communications of the ACM Arabia Region Special Section Workshop,-,2020,Aug,29,Cairo,Egypt,"societal impact using technology,industry and startups,arabia region education,computing research highlights,"
ICCDN-2020,"International Conference in Communication, Devices and Networking-2020",-,2020,Dec,19,Rangpo,India,"communication and networking,energy and power,nano technology,signal processing,"
LA@ICCE2020,7th ICCE workshop on Learning Analytics (LA) Technologies & Practices for Evidence-based Education,-,2020,Nov,23,Darwin,Australia,"educational technology,learning analytics,"
DiCES-N2020,Distributed Computing for Emerging Smart Networks,-,2020,Dec,18,Bizerte,Tunisia,"security,computing and networking,wireless networks,cyber physical systems,"
AISE-2020,International Conference on Artificial Intelligence and Sustainable Engineering,-,2020,Nov,27,Goa,India,"sustainable development using iot/ai,machine learning and computing,smart cities,artificial intelligence,"
EdgeAI-2021,"CRC Press, Taylor & Francis Group.Book Chapter 2021:Applied Edge AI: Concepts, Platforms, and Industry Use Cases",-,-,-,-,,,"digital twin,blockchain and vr/ar,computer vision ,pattern recognition,machine and deep learning algorithms,ai,edge/fog computing and iot,"
AISI-4.0,Artificial Intelligence for a Sustainable Industry 4.0,-,-,-,-,Greater Noida,India,"machine learning and computing,iot for modern life,industry 4.0,artificial intelligence,"
RESGA-2021,Renewable Energy for Sustainable Growth Assessment,-,-,-,-,,,"soft computing ,control techniques,energy conversion techniques,advanced power electronics,renewable and sustainable energy,"
AIHC-2020,Artificial Intelligence and it's Application in Healthcare,-,-,-,-,,,"sensor networks,internet of things,healthcare,artificial intelligence,"
DFRWS EU 2021,Digital Forensics Research Conference,-,2021,Mar,29,Oxford,UK,
IEEE RDAAPS 2021,"IEEE Reconciling Data Analytics, Automation, Privacy, and Security: A Big Data Challenge",-,2021,May,17,Hamilton,Canada,"privacy,security,automation,data analytics,"
TEAAS 2020,Themed Experience and Attractions Academic Symposium 2020,-,2020,Nov,20,Orlando,United States,"attractions,themed entertainment,event management,hospitality,"
GradConference2021,GradConference2021 (26th Annual Graduate Education and Graduate Student Research Conference in Hospitality & Tourism),-,2021,Jan,7,Houston,United States,"restaurants,events,hospitality,tourism,"
PIC-2020,2020 International Conference on Progress in Informatics and Computing,-,2020,Dec,18,Shanghai,China,"software engineering,big data analysis,multimedia,artificial intelligence,"
PriSEM20,1st International Workshop on Privacy and Security in Enterprise Modeling,-,2020,Oct,5,Eindhoven,Netherlands,
EE HPC SOP 2020,Energy Efficient HPC State of the Practice Workshop 2020,-,2020,Sep,14,Kobe,Japan,"system hard and software technology,cooling efficiency,direct warm water cooling,energy efficiency,"
ICED2020,1st International Conference on Environmental Design,-,2020,Oct,24,Athens,Greece,"cities and buildings,climate change,energy,pollution,"
SNTS PNJ 2020,Seminar Nasional Teknik Sipil Politeknik Negeri Jakarta 2020,-,2020,Oct,17,Depok,Indonesia,"metode pelaksanaan dan k3,sumber daya air dan lingkungan,material struktur dan manajemen konstruksi,transportasi dan geoteknik,"
SINTA 2020,"Seminar Nasional Hasil Penelitian Sains, Teknik dan Aplikasi Industri",-,2020,Oct,14,Bandar Lampung,Indonesia,
PensarEducativoUniSalle2020,I Congreso Internacional de Pensamiento Educativo,-,2020,Nov,5,Bogotá,Colombia,"liderazgo y excelencia docente.,migración y escuela,sistematización de experiencias,innovación educativa,"
CIFMA 2020,"2nd International Workshop on Cognition: Interdisciplinary Foundations, Models and Applications",-,2020,Sep,14,Organised by CWI,Netherlands,"linguistics,formal methods,human computer interaction,cognitive science,"
ICRISET-2020,"1st International Conference on Recent Innovations in Science, Engineering & Technology-2020",-,2020,Sep,11,Bareilly,India,"renewable energy,automation,internet of things,electrical & electronics engineering,"
ASCI-2020,International Conference on Applied Scientific Computational Intelligence using Data Science,-,2020,Dec,22,Jaipur,India,"data science applications,computational intelligence techniques,big data management,"
ICSISCET- 2020,Second International Conference on Sustainable and Innovative Solutions for Current Challenges in Engineering & Technology,-,2020,Dec,18,Gwalior,India,
EdgeSP20,The Third ACM/IEEE Workshop on Security and Privacy in Edge Computing,-,2020,Nov,11,San Jose,United States,
ICTC 2021,2021 2nd Information Communication Technologies Conference,-,2021,May,7,Nanjing,China,"broadband wireless access,"
ICCCBDA2021,2021 6th International Conference on Cloud Computing and Big Data Analytics,-,2021,Apr,24,Chengdu,China,"cloud application architectures,networks and communications,mobility management,cloud economics,"
ICITM 2021,10TH International Conference on Industrial Technology and Management,-,2021,Mar,27,Cambridge,UK,"power electronics,control systems,industrial automation,"
IMISC 2020,7th International Management Information Systems Conference,-,2020,Dec,9,İzmir,Turkey,"information systems,decision science,data science,medical informatics,"
ICMEPS2021,International Conference on Modern Energy and Power Systems,-,2021,Jun,16,Nevsehir,Turkey,"renewable energy,smart grid,power systems,energy,"
FIC-SISTEEM-2020,First International Conference on Sustainable Infrastructure with Smart Technology for Energy and Environmental Management,-,2020,Sep,3,Erode,India,"sustainable environmental management,smart technology for energy management,smart and sustainable infrastructure,"
AINT2020,1st International Virtual Conference on Advancements in Nanotechnology,-,2020,Sep,11,Vellore,India,"physics,manufacturing,design,energy,"
Techno-Societal 2020,3rd International Conference on Advanced Technologies for Societal Applications,-,2020,Dec,14,Pandhapur,India,
KRML_2020,Prediction and Analysis of Knowledge Representation and Machine Learning,-,-,-,-,,,
AAIORTEIB 2021,Advances of Artificial Intelligence and Operational Research In Transportation and Exploration Industry and Business,-,-,-,-,,,"soft computing,quantum computing,operational research,artificial intelligence,"
TEEWE2020,Chapters for The Trinary Enigma of East-West Exchange:  A Cultural Dialogue,-,-,-,-,,,"chinese humanities,chinese western comparative studies,chinese literature,translation,"
FPT'20,International Conference on Field-Programmable Technology,-,2020,Dec,7,Maui,United States,"digital design,computer architecture,reconfigurable computing,fpga,"
ICIRPS2020,2nd International Conference on Interdisciplinary Research and Physical Sciences,-,2020,Aug,16,Greater Noida,India,"management and interdisciplinary area,artificial intelligence and software reliability,material science,physical model,"
ICMMT 2021,2021 12th International Conference on Materials and Manufacturing Technologies,-,2021,Apr,23,Singapore,Singapore,"polymers,ceramics,composites,"
HBPSC 2021,5th HBP Student Conference on Interdisciplinary Brain Research,-,2021,Feb,1,,,"medicine,philosophy,computer science,neuroscience,"
SLCOSHH Conference 2020,Sri Lanka COSHH Conference 2020,-,2020,Oct,22,Colombo,Sri Lanka,"sexual health,sexually transmitted infections (sti),hiv,"
SPM September 2021,"Society for Phenomenology and Media 25th Annual, International Conference",-,2021,Sep,30,Lancaster,United States,"literature,phenomenology,media studies,philosophy,"
GIOTAML-2020,Green Internet of Things (G-IoT) and Machine Learning: Towards Smart Sustainable World,-,-,-,-,,,"machine learning,internet of things,deep learning,green iot,"
MC2020,MUJER EN LA CIENCIA,-,-,-,-,Puebla,Mexico,"mujer en la ciencia,investigación,docencia,tics,"
ETH2021,Enhanced Telemedicine and e-Health: Advanced IoT Enabled Soft Computing Framework,-,-,-,-,,,"telemedicine and e health,soft computing,internet of things,"
ICDSP 2021,2021 5th International Conference on Digital Signal Processing,-,2021,Feb,26,Chengdu,China,"industry technology,audio and electroacoustics,digital signal processing,array signal processing,"
ICoIAS’2021,2021 the 4th International Conference on Intelligent Autonomous Systems,-,2021,May,14,Wuhan,China,"robotics systems,system modeling and optimization,advanced intelligent control,reinforcement learning,"
ICEMS 2020,International Conference on Education in Muslim Society (ICEMS) 2020,-,2020,Nov,18,DKI Jakarta,Indonesia,"curriculum of the learning autonomy,teacher professional development,new pedagogy and andragogy,digital technology in education,"
Spectrum 2020,3rd International Students’ Conference on Current Advancement in Science & Technology,-,2020,Oct,9,Kolkata,India,
AMCET-20,Alhamd Multidisciplinary Conference on Emerging Technologies,-,2020,Sep,12,Islamabad,Pakistan,"information technology,software engineering,computer science,"
Socio-cultural Impact of COVID-19,The revelation of the consequences of COVID-19 pandemic and Exploration of Socio-cultural responses,-,-,-,-,,,"mental health,socio cultural impacts,pandemic,covid 19,"
EITCE 2020,2020 4th International Conference on Electronic Information Technology and Computer Engineering,-,2020,Nov,6,Xiamen,China,"communication,information technology,software engineering,computer engineering,"
